Date,State,Region,Confirmed,Deaths,Recovered
2020-04-29,Unknown,Philippines,8212,558,1023
2020-04-29,Unknown,Poland,12640,624,3025
2020-04-29,Unknown,Portugal,24505,973,1470
2020-04-29,Unknown,Qatar,12564,10,1243
2020-04-29,Unknown,Romania,11978,693,3569
2020-04-29,Unknown,Russia,99399,972,10286
2020-04-29,Unknown,Rwanda,225,0,98
2020-04-29,Unknown,Saint Kitts and Nevis,15,0,4
2020-04-29,Unknown,Saint Lucia,17,0,15
2020-04-29,Unknown,Saint Vincent and the Grenadines,16,0,8
2020-04-29,Unknown,San Marino,563,41,69
2020-04-29,Unknown,Sao Tome and Principe,8,0,4
2020-04-29,Unknown,Saudi Arabia,21402,157,2953
2020-04-29,Unknown,Senegal,882,9,315
2020-04-29,Unknown,Serbia,6630,125,870
2020-04-29,Unknown,Seychelles,11,0,6
2020-04-29,Unknown,Sierra Leone,104,4,12
2020-04-29,Unknown,Singapore,15641,14,1188
2020-04-29,Unknown,Slovakia,1391,22,484
2020-04-29,Unknown,Slovenia,1418,89,230
2020-04-29,Unknown,Somalia,582,28,20
2020-04-29,Unknown,South Africa,5350,103,2073
2020-04-29,Unknown,South Korea,10765,247,9059
2020-04-29,Unknown,South Sudan,34,0,0
2020-04-29,Unknown,Spain,236899,24275,132929
2020-04-29,Unknown,Sri Lanka,649,7,136
2020-04-29,Unknown,Sudan,375,28,32
2020-04-29,Unknown,Suriname,10,1,8
2020-04-29,Unknown,Sweden,20302,2462,1005
2020-04-29,Unknown,Switzerland,29407,1716,22600
2020-04-29,Unknown,Syria,43,3,21
2020-04-29,Unknown,Taiwan,429,6,311
2020-04-29,Unknown,Tanzania,480,16,167
2020-04-29,Unknown,Thailand,2947,54,2665
2020-04-29,Unknown,Timor-Leste,24,0,6
2020-04-29,Unknown,Togo,109,7,64
2020-04-29,Unknown,Trinidad and Tobago,116,8,71
2020-04-29,Unknown,Tunisia,980,40,294
2020-04-29,Unknown,Turkey,117589,3081,44040
2020-04-29,Unknown,UK,165221,26097,0
2020-04-29,Unknown,Uganda,81,0,52
2020-04-29,Unknown,Ukraine,9866,250,1103
2020-04-29,Unknown,United Arab Emirates,11929,98,2329
2020-04-29,Unknown,Uruguay,630,15,412
2020-04-29,Unknown,Uzbekistan,2002,9,1096
2020-04-29,Unknown,Venezuela,331,10,142
2020-04-29,Unknown,Vietnam,270,0,222
2020-04-29,Unknown,West Bank and Gaza,344,2,71
2020-04-29,Unknown,Western Sahara,6,0,5
2020-04-29,Unknown,Yemen,6,0,1
2020-04-29,Unknown,Zambia,97,3,54
2020-04-29,Unknown,Zimbabwe,32,4,5
2020-04-29,Alabama,US,6912,256,0
2020-04-29,Alaska,US,355,9,0
2020-04-29,Alberta,Canada,5165,87,0
2020-04-29,Anguilla,UK,3,0,3
2020-04-29,Anhui,Mainland China,991,6,985
2020-04-29,Arizona,US,7209,308,0
2020-04-29,Arkansas,US,3193,57,0
2020-04-29,Aruba,Netherlands,100,2,73
2020-04-29,Australian Capital Territory,Australia,106,3,101
2020-04-29,Beijing,Mainland China,593,9,542
2020-04-29,Bermuda,UK,111,6,48
2020-04-29,"Bonaire, Sint Eustatius and Saba",Netherlands,5,0,0
2020-04-29,British Columbia,Canada,2087,109,0
2020-04-29,British Virgin Islands,UK,6,1,3
2020-04-29,California,US,48747,1946,0
2020-04-29,Cayman Islands,UK,73,1,10
2020-04-29,Channel Islands,UK,537,38,386
2020-04-29,Chongqing,Mainland China,579,6,573
2020-04-29,Colorado,US,14758,766,0
2020-04-29,Connecticut,US,26767,2169,0
2020-04-29,Curacao,Netherlands,16,1,13
2020-04-29,Delaware,US,4655,144,0
2020-04-29,Diamond Princess cruise ship,Canada,0,1,0
2020-04-29,Diamond Princess cruise ship,US,49,0,0
2020-04-29,District of Columbia,US,4106,205,0
2020-04-29,Falkland Islands (Malvinas),UK,13,0,11
2020-04-29,Faroe Islands,Denmark,187,0,181
2020-04-29,Florida,US,33193,1218,0
2020-04-29,French Guiana,France,125,1,93
2020-04-29,French Polynesia,France,58,0,50
2020-04-29,Fujian,Mainland China,355,1,353
2020-04-29,Gansu,Mainland China,139,2,137
2020-04-29,Georgia,US,25775,1101,0
2020-04-29,Gibraltar,UK,141,0,131
2020-04-29,Grand Princess,Canada,13,0,0
2020-04-29,Grand Princess,US,103,3,0
2020-04-29,Greenland,Denmark,11,0,11
2020-04-29,Guadeloupe,France,149,12,82
2020-04-29,Guam,US,141,5,0
2020-04-29,Guangdong,Mainland China,1588,8,1557
2020-04-29,Guangxi,Mainland China,254,2,252
2020-04-29,Guizhou,Mainland China,147,2,145
2020-04-29,Hainan,Mainland China,168,6,162
2020-04-29,Hawaii,US,613,16,0
2020-04-29,Hebei,Mainland China,328,6,318
2020-04-29,Heilongjiang,Mainland China,939,13,587
2020-04-29,Henan,Mainland China,1276,22,1254
2020-04-29,Hong Kong,Hong Kong,1037,4,830
2020-04-29,Hubei,Mainland China,68128,4512,63616
2020-04-29,Hunan,Mainland China,1019,4,1015
2020-04-29,Idaho,US,1952,60,0
2020-04-29,Illinois,US,50358,2215,0
2020-04-29,Indiana,US,17182,964,0
2020-04-29,Inner Mongolia,Mainland China,200,1,150
2020-04-29,Iowa,US,6843,148,0
2020-04-29,Isle of Man,UK,313,21,258
2020-04-29,Jiangsu,Mainland China,653,0,648
2020-04-29,Jiangxi,Mainland China,937,1,936
2020-04-29,Jilin,Mainland China,111,1,99
2020-04-29,Kansas,US,3839,134,0
2020-04-29,Kentucky,US,4537,234,0
2020-04-29,Liaoning,Mainland China,146,2,143
2020-04-29,Louisiana,US,27660,1845,0
2020-04-29,Macau,Macau,45,0,34
2020-04-29,Maine,US,1056,52,0
2020-04-29,Manitoba,Canada,275,6,0
2020-04-29,Martinique,France,175,14,83
2020-04-29,Maryland,US,20849,1078,0
2020-04-29,Massachusetts,US,60265,3405,0
2020-04-29,Mayotte,France,460,4,235
2020-04-29,Michigan,US,40399,3670,0
2020-04-29,Minnesota,US,4644,319,0
2020-04-29,Mississippi,US,6569,250,0
2020-04-29,Missouri,US,7660,338,0
2020-04-29,Montana,US,451,16,0
2020-04-29,Montserrat,UK,11,1,2
2020-04-29,Nebraska,US,3851,56,0
2020-04-29,Nevada,US,4934,230,0
2020-04-29,New Brunswick,Canada,118,0,0
2020-04-29,New Caledonia,France,18,0,17
2020-04-29,New Hampshire,US,2058,60,0
2020-04-29,New Jersey,US,116365,6771,0
2020-04-29,New Mexico,US,3213,112,0
2020-04-29,New South Wales,Australia,3016,40,2284
2020-04-29,New York,US,299691,23477,0
2020-04-29,Newfoundland and Labrador,Canada,258,3,0
2020-04-29,Ningxia,Mainland China,75,0,75
2020-04-29,North Carolina,US,10180,382,0
2020-04-29,North Dakota,US,1033,19,0
2020-04-29,Northern Mariana Islands,US,14,2,0
2020-04-29,Northern Territory,Australia,28,0,25
2020-04-29,Northwest Territories,Canada,5,0,0
2020-04-29,Nova Scotia,Canada,935,28,0
2020-04-29,Ohio,US,17303,937,0
2020-04-29,Oklahoma,US,3473,214,0
2020-04-29,Ontario,Canada,16978,1153,0
2020-04-29,Oregon,US,2446,101,0
2020-04-29,Pennsylvania,US,46327,2373,0
2020-04-29,Prince Edward Island,Canada,27,0,0
2020-04-29,Puerto Rico,US,1433,86,0
2020-04-29,Qinghai,Mainland China,18,0,18
2020-04-29,Quebec,Canada,26610,1762,0
2020-04-29,Queensland,Australia,1033,6,943
2020-04-29,Recovered,Canada,0,0,20327
2020-04-29,Recovered,US,0,0,120720
2020-04-29,Reunion,France,420,0,300
2020-04-29,Rhode Island,US,8247,251,0
2020-04-29,Saint Barthelemy,France,6,0,6
2020-04-29,Saint Pierre and Miquelon,France,1,0,0
2020-04-29,Saskatchewan,Canada,383,6,0
2020-04-29,Shaanxi,Mainland China,306,3,253
2020-04-29,Shandong,Mainland China,787,7,772
2020-04-29,Shanghai,Mainland China,647,7,597
2020-04-29,Shanxi,Mainland China,197,0,164
2020-04-29,Sichuan,Mainland China,561,3,558
2020-04-29,Sint Maarten,Netherlands,75,13,33
2020-04-29,South Australia,Australia,438,4,420
2020-04-29,South Carolina,US,5882,231,0
2020-04-29,South Dakota,US,2373,13,0
2020-04-29,St Martin,France,38,3,24
2020-04-29,Tasmania,Australia,219,12,144
2020-04-29,Tennessee,US,10366,195,0
2020-04-29,Texas,US,27257,754,0
2020-04-29,Tianjin,Mainland China,190,3,183
2020-04-29,Tibet,Mainland China,1,0,1
2020-04-29,Turks and Caicos Islands,UK,12,1,5
2020-04-29,Utah,US,4497,45,0
2020-04-29,Vermont,US,862,47,0
2020-04-29,Victoria,Australia,1361,18,1291
2020-04-29,Virgin Islands,US,57,4,0
2020-04-29,Virginia,US,14962,522,0
2020-04-29,Washington,US,14070,801,0
2020-04-29,West Virginia,US,1110,38,0
2020-04-29,Western Australia,Australia,551,8,507
2020-04-29,Wisconsin,US,6520,308,0
2020-04-29,Wyoming,US,545,7,0
2020-04-29,Xinjiang,Mainland China,76,3,73
2020-04-29,Yukon,Canada,11,0,0
2020-04-29,Yunnan,Mainland China,185,2,181
2020-04-29,Zhejiang,Mainland China,1268,1,1263
